series_id,seed,origin,alpha,global_alpha,F0_loss,GLOBAL_loss,INDIVIDUAL_loss,LORA_loss,mean_SHUFFLED_loss
T1,24000,60,1.0,1.0,0.31770522471109114,0.29639049752837165,0.29639049752837165,0.29639049752837165,0.30115000413657944
T1,24000,72,1.0,1.0,0.3071279370299408,0.2992916053908979,0.2992916053908979,0.2992916053908979,0.3010366864737322
T10,24000,60,1.0,1.0,0.5559596909362261,0.5537018107155951,0.5537018107155951,0.5537018107155951,0.5545896741826543
T10,24000,72,1.0,1.0,0.586162410913578,0.5880347502787096,0.5880347502787096,0.5880347502787096,0.5872342205007282
T100,24000,60,0.0,1.0,0.6796026962394602,0.6603488774329229,0.6796026962394602,0.6603488774329229,0.6681415706591747
T100,24000,72,0.0,1.0,0.7951304383342128,0.8029338529300805,0.7951304383342128,0.8029338529300805,0.7997628938202412
T101,24000,60,1.0,1.0,0.37549741777621465,0.36157642343021906,0.36157642343021906,0.36157642343021906,0.3666981127054006
T101,24000,72,1.0,1.0,0.6819654829547052,0.6691948994277377,0.6691948994277377,0.6691948994277377,0.6739174166922741
T102,24000,60,1.0,1.0,0.12322622089089261,0.12439221018964411,0.12439221018964411,0.12439221018964411,0.12382821940441924
T102,24000,72,1.0,1.0,0.17374599571627447,0.16212727662443346,0.16212727662443346,0.16212727662443346,0.1676623799027354
T103,24000,60,1.0,1.0,0.8930658546385885,0.8870436891953617,0.8870436891953617,0.8870436891953617,0.8895960365084472
T103,24000,72,1.0,1.0,0.5854674864885007,0.5755657421051922,0.5755657421051922,0.5755657421051922,0.5797666258373134
T104,24000,60,1.0,1.0,0.5772136489950861,0.5694178712587022,0.5694178712587022,0.5694178712587022,0.5731363608503812
T104,24000,72,1.0,1.0,0.42903754770495395,0.4125438624403213,0.4125438624403213,0.4125438624403213,0.42044129911594535
T105,24000,60,1.0,1.0,0.731060496320931,0.7418890074412291,0.7418890074412291,0.7418890074412291,0.7395895558744667
T105,24000,72,1.0,1.0,0.6288625670913612,0.6198075849322972,0.6198075849322972,0.6198075849322972,0.6215825714858136
T106,24000,60,1.0,1.0,1.2709696708854132,1.263808177376803,1.263808177376803,1.263808177376803,1.2666727747802469
T106,24000,72,1.0,1.0,0.7519925892419171,0.7731539342495403,0.7731539342495403,0.7731539342495403,0.7646893962464911
