comparator,pretrained,task_trained,training_cutoff,target_info,covariates,rolling_parameter_updates,context_available,evaluation_windows,metric,quantiles,contamination_status,comparison_role
chronos-2,True,False,not applicable (zero-shot),one univariate target series at a time,none,False,the window's full legal past,every window the task declares,fev native SQL,"[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",OVERLAP_RISK_UNKNOWN,envelope member
tirex-2,True,False,not applicable (zero-shot),one univariate target series at a time,none,False,the window's full legal past,every window the task declares,fev native SQL,"[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",OVERLAP_RISK_UNKNOWN,envelope member
timesfm-3.0,True,False,not applicable (zero-shot),one univariate target series at a time,none,False,the window's full legal past,every window the task declares,fev native SQL,"[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",CLEAN_BY_OFFICIAL_EXCLUSION,F_FIXED
chronos-2-synth,True,False,not applicable (zero-shot),one univariate target series at a time,none,False,the window's full legal past,every window the task declares,fev native SQL,"[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",SYNTH_ONLY_DIAGNOSTIC,"diagnostic only, excluded from the envelope and every gate"
S_ENSEMBLE,False,True,"the task's first evaluation cutoff; fitted once, then frozen",one univariate target series at a time,none,False,"the window's full legal past, as inference input only",every window the task declares,fev native SQL,"[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",not applicable (no pretraining corpus),primary strong specialist
S_BEST,False,True,"the task's first evaluation cutoff; fitted once, then frozen",one univariate target series at a time,none,False,"the window's full legal past, as inference input only",every window the task declares,fev native SQL,"[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",not applicable (no pretraining corpus),interpretation only
PatchTST,False,True,"the task's first evaluation cutoff; fitted once, then frozen",one univariate target series at a time,none,False,"the window's full legal past, as inference input only",every window the task declares,fev native SQL,"[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",not applicable (no pretraining corpus),ensemble component
TiDE,False,True,"the task's first evaluation cutoff; fitted once, then frozen",one univariate target series at a time,none,False,"the window's full legal past, as inference input only",every window the task declares,fev native SQL,"[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",not applicable (no pretraining corpus),ensemble component
DLinear,False,True,"the task's first evaluation cutoff; fitted once, then frozen",one univariate target series at a time,none,False,"the window's full legal past, as inference input only",every window the task declares,fev native SQL,"[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",not applicable (no pretraining corpus),ensemble component
DeepAR,False,True,"the task's first evaluation cutoff; fitted once, then frozen",one univariate target series at a time,none,False,"the window's full legal past, as inference input only",every window the task declares,fev native SQL,"[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",not applicable (no pretraining corpus),ensemble component
DirectTabular,False,True,"the task's first evaluation cutoff; fitted once, then frozen",one univariate target series at a time,none,False,"the window's full legal past, as inference input only",every window the task declares,fev native SQL,"[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",not applicable (no pretraining corpus),ensemble component
linear-ar-specialist,False,True,refitted inside each window from that window's visible history,one univariate target series at a time,none,True,the window's full legal past,every window the task declares,fev native SQL,"[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",not applicable,weak supervised baseline from the source study
seasonal-naive,False,False,not applicable,one univariate target series at a time,none,False,the window's full legal past,every window the task declares,fev native SQL,"[0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9]",not applicable,naive anchor
