evidence_status,source_dataset,unit_id,target_or_series,chronological_range,roles_seen,studies_seen,results_viewed,development_or_final,stage_a_fresh_candidate,final_holdout_candidate,evidence_refs,exposure_notes,gap_or_uncertainty
[확인],ETTm2,adaptation_scope_s1_ettm2,"all 7 channels: HUFL,HULL,MUFL,MULL,LUFL,LULL,OT",2018-03-02~2018-06-25; input-only 4d + fit 64d + validation 16d + development evaluation 32d,fit|validation|evaluation,Study04 S1; Study07 reuses ETTm2 train cache,yes,development,NO,NO,_docs/notes/tsfm_topics/02_adaptation_scope/04_peft_adaptation_scope_s1_results_20260908.md; _docs/notes/tsfm_topics/02_adaptation_scope/07_head_complement_method_gate_results_20260908.md; results/peft_adaptation_scope_v1/summary_and_costs.json,[확인] S1 result note reports ETTm2 validation/evaluation scores and Study07 uses existing ETTm2 train-origin cache.,[미검증] No clean alternate ETTm2 period was certified in this audit.
[확인],Jena,adaptation_scope_s1_jena2024,21 Jena weather channels scored jointly,2024-09-07~2024-12-31; input-only 4d + fit 64d + validation 16d + development evaluation 32d,fit|validation|evaluation,Study04 S1,yes,development,NO,NO,_docs/notes/tsfm_topics/02_adaptation_scope/04_peft_adaptation_scope_s1_results_20260908.md; results/peft_adaptation_scope_v1/summary_and_costs.json,[확인] S1 result note explicitly records the Jena 2024 period and evaluation results.,[미검증] 2024 Jena cannot be treated as final-fresh after S1 exposure.
[확인],synthetic Gaussian lag/covariate,peft_shift_module_trainlag_synthetic,Y target with U/V covariates; synthetic episodes,"episode data, not calendar time; L=256/H=16; train/validation/evaluation episodes",train|validation|evaluation|diagnostic,Study08; Study09; Study10,yes,development_synthetic,NO,NOT_APPLICABLE,_docs/notes/tsfm_topics/02_adaptation_scope/08_peft_shift_mechanism_results_20260908.md; _docs/notes/tsfm_topics/02_adaptation_scope/09_peft_module_ablation_results_20260908.md; _docs/notes/tsfm_topics/02_adaptation_scope/10_peft_trainlag_results_20260908.md,[확인] These studies expose synthetic validation/evaluation episodes and are not real-source final holdouts.,[판정] Synthetic episodes do not satisfy the requested real fresh source/period requirement.
[확인],Bike Sharing,external_gap_first_block,casual|registered,first complete 190-day block; 14d precontext + 64d train + 14d V_select + 14d C_cal + 84d eval,train|V_select|C_cal|eval,Study12 external gap,yes,development,NO,NO,_docs/notes/tsfm_topics/02_adaptation_scope/12_peft_external_gap_plan_20260908.md; _docs/notes/tsfm_topics/02_adaptation_scope/12_peft_external_gap_results_20260908.md; results/peft_external_gap_v1/diagnostics.json,[확인] Study12 opened Bike target results for external-gap development.,[미검증] Exact retained timestamp manifest was not found; the plan defines the block rule.
[확인],Household Power,external_gap_first_block,Global_active_power|Global_reactive_power,first complete 190-day block; 14d precontext + 64d train + 14d V_select + 14d C_cal + 84d eval,train|V_select|C_cal|eval,Study12 external gap,yes,development,NO,NO,_docs/notes/tsfm_topics/02_adaptation_scope/12_peft_external_gap_plan_20260908.md; _docs/notes/tsfm_topics/02_adaptation_scope/12_peft_external_gap_results_20260908.md; results/peft_external_gap_v1/diagnostics.json,[확인] Study12 opened Household target results for external-gap development.,[미검증] Exact retained timestamp manifest was not found; the plan defines the block rule.
[확인],Bike Sharing,temporal_replication_block,casual|registered,2011-07-10~2012-01-16; train 2011-07-24~2011-09-26; V 2011-09-26~2011-10-10; C 2011-10-10~2011-10-24; eval 2011-10-24~2012-01-16,train|V|C|eval,Study13 temporal replication,yes,development,NO,NO,_docs/notes/tsfm_topics/02_adaptation_scope/13_peft_temporal_replication_plan_20260908.md; _docs/notes/tsfm_topics/02_adaptation_scope/13_peft_temporal_replication_results_20260908.md; results/peft_temporal_replication_v1/selected_results.csv,[확인] Study13 opened this Bike evaluation block.,[확인] This block predates the Study20 and P1 Bike windows.
[확인],Household Power,temporal_replication_block,Global_active_power|Global_reactive_power,2007-06-25~2008-01-01; train 2007-07-09~2007-09-11; V 2007-09-11~2007-09-25; C 2007-09-25~2007-10-09; eval 2007-10-09~2008-01-01,train|V|C|eval,Study13 temporal replication,yes,development,NO,NO,_docs/notes/tsfm_topics/02_adaptation_scope/13_peft_temporal_replication_plan_20260908.md; _docs/notes/tsfm_topics/02_adaptation_scope/13_peft_temporal_replication_results_20260908.md; results/peft_temporal_replication_v1/selected_results.csv,[확인] Study13 opened this Household evaluation block.,[확인] This block predates the Study20 and P1 Household windows.
[확인],Bike Sharing,fullft_reference_P0,casual|registered,2012-01-16~2012-09-14; train 2012-01-30~2012-04-30; V 2012-05-02~2012-06-02; C 2012-06-04~2012-06-25; eval 2012-06-25~2012-09-14,train|val|cal|eval,Study20 fullft reference; Study26 mechanism diagnostics; Study30 P0 capacity probe,yes,development,NO,NO,runs/peft_fullft_reference_v3/prepared/manifest.json; results/peft_fullft_reference_v3/summary.json; _docs/notes/tsfm_topics/06_fullft_reference/20_peft_fullft_reference_results_20260909.md,"[확인] Prepared manifest records target columns, split boundaries, and source hash; results were opened.",[확인] Existing development exposure excludes this unit from any final holdout.
[확인],Household Power,fullft_reference_P0,Global_active_power|Global_reactive_power,2008-01-01~2008-08-30; train 2008-01-15~2008-04-15; V 2008-04-17~2008-05-18; C 2008-05-20~2008-06-10; eval 2008-06-10~2008-08-30,train|val|cal|eval,Study20 fullft reference; Study26 mechanism diagnostics; Study30 P0 capacity probe,yes,development,NO,NO,runs/peft_fullft_reference_v3/prepared/manifest.json; results/peft_fullft_reference_v3/summary.json; _docs/notes/tsfm_topics/06_fullft_reference/20_peft_fullft_reference_results_20260909.md,"[확인] Prepared manifest records target columns, split boundaries, and source hash; results were opened.",[확인] Existing development exposure excludes this unit from any final holdout.
[확인],Bike Sharing,overlap_transfer_P1,casual|registered,2012-04-06~2012-12-04; train 2012-04-20~2012-07-20; V 2012-07-22~2012-08-22; C 2012-08-24~2012-09-14; eval 2012-09-14~2012-12-04,train|val|cal|eval,Study29 overlap transfer; Study30 capacity probe,yes,development,NO,NO,runs/peft_overlap_transfer_v1/prepared/manifest.json; results/peft_overlap_transfer_v1/evidence/prepared_manifest.json; _docs/notes/tsfm_topics/07_research_direction/29_overlap_transfer_20260910.md,[확인] Prepared manifest records P1 Bike boundaries and target columns; result artifacts expose eval.,"[추정] Local Bike timestamp span leaves too little post-P1 calendar for another comparable 242-day block, but this is not a global no-data claim."
