dataset,split,channel,operation,r,candidate_windows,eligible_windows,excluded_windows,excluded_fraction
jena,train,temperature,END_BIN,2,73325,72963,362,0.004936924650528418
jena,train,temperature,END_BIN,3,73325,72963,362,0.004936924650528418
jena,train,temperature,END_BIN,4,73325,72963,362,0.004936924650528418
jena,train,temperature,END_BIN,6,73325,72963,362,0.004936924650528418
jena,train,temperature,END_BIN,8,73325,72963,362,0.004936924650528418
jena,train,temperature,END_BIN,12,73325,72963,362,0.004936924650528418
jena,train,temperature,INTERVAL_MEAN,2,73325,72963,362,0.004936924650528418
jena,train,temperature,INTERVAL_MEAN,3,73325,72963,362,0.004936924650528418
jena,train,temperature,INTERVAL_MEAN,4,73325,72963,362,0.004936924650528418
jena,train,temperature,INTERVAL_MEAN,6,73325,72963,362,0.004936924650528418
jena,train,temperature,INTERVAL_MEAN,8,73325,72963,362,0.004936924650528418
jena,train,temperature,INTERVAL_MEAN,12,73325,72963,362,0.004936924650528418
jena,train,pressure,END_BIN,2,73325,72963,362,0.004936924650528418
jena,train,pressure,END_BIN,3,73325,72963,362,0.004936924650528418
jena,train,pressure,END_BIN,4,73325,72963,362,0.004936924650528418
jena,train,pressure,END_BIN,6,73325,72963,362,0.004936924650528418
jena,train,pressure,END_BIN,8,73325,72963,362,0.004936924650528418
jena,train,pressure,END_BIN,12,73325,72963,362,0.004936924650528418
jena,train,pressure,INTERVAL_MEAN,2,73325,72963,362,0.004936924650528418
jena,train,pressure,INTERVAL_MEAN,3,73325,72963,362,0.004936924650528418
jena,train,pressure,INTERVAL_MEAN,4,73325,72963,362,0.004936924650528418
jena,train,pressure,INTERVAL_MEAN,6,73325,72963,362,0.004936924650528418
jena,train,pressure,INTERVAL_MEAN,8,73325,72963,362,0.004936924650528418
jena,train,pressure,INTERVAL_MEAN,12,73325,72963,362,0.004936924650528418
jena,train,relative_humidity,END_BIN,2,73325,72963,362,0.004936924650528418
jena,train,relative_humidity,END_BIN,3,73325,72963,362,0.004936924650528418
jena,train,relative_humidity,END_BIN,4,73325,72963,362,0.004936924650528418
jena,train,relative_humidity,END_BIN,6,73325,72963,362,0.004936924650528418
jena,train,relative_humidity,END_BIN,8,73325,72963,362,0.004936924650528418
jena,train,relative_humidity,END_BIN,12,73325,72963,362,0.004936924650528418
jena,train,relative_humidity,INTERVAL_MEAN,2,73325,72963,362,0.004936924650528418
jena,train,relative_humidity,INTERVAL_MEAN,3,73325,72963,362,0.004936924650528418
jena,train,relative_humidity,INTERVAL_MEAN,4,73325,72963,362,0.004936924650528418
jena,train,relative_humidity,INTERVAL_MEAN,6,73325,72963,362,0.004936924650528418
jena,train,relative_humidity,INTERVAL_MEAN,8,73325,72963,362,0.004936924650528418
jena,train,relative_humidity,INTERVAL_MEAN,12,73325,72963,362,0.004936924650528418
jena,val,temperature,END_BIN,2,146,146,0,0.0
jena,val,temperature,END_BIN,3,146,146,0,0.0
jena,val,temperature,END_BIN,4,146,146,0,0.0
jena,val,temperature,END_BIN,6,146,146,0,0.0
jena,val,temperature,END_BIN,8,146,146,0,0.0
jena,val,temperature,END_BIN,12,146,146,0,0.0
jena,val,temperature,INTERVAL_MEAN,2,146,146,0,0.0
jena,val,temperature,INTERVAL_MEAN,3,146,146,0,0.0
jena,val,temperature,INTERVAL_MEAN,4,146,146,0,0.0
jena,val,temperature,INTERVAL_MEAN,6,146,146,0,0.0
jena,val,temperature,INTERVAL_MEAN,8,146,146,0,0.0
jena,val,temperature,INTERVAL_MEAN,12,146,146,0,0.0
jena,val,pressure,END_BIN,2,146,146,0,0.0
jena,val,pressure,END_BIN,3,146,146,0,0.0
jena,val,pressure,END_BIN,4,146,146,0,0.0
jena,val,pressure,END_BIN,6,146,146,0,0.0
jena,val,pressure,END_BIN,8,146,146,0,0.0
jena,val,pressure,END_BIN,12,146,146,0,0.0
jena,val,pressure,INTERVAL_MEAN,2,146,146,0,0.0
jena,val,pressure,INTERVAL_MEAN,3,146,146,0,0.0
jena,val,pressure,INTERVAL_MEAN,4,146,146,0,0.0
jena,val,pressure,INTERVAL_MEAN,6,146,146,0,0.0
jena,val,pressure,INTERVAL_MEAN,8,146,146,0,0.0
jena,val,pressure,INTERVAL_MEAN,12,146,146,0,0.0
jena,val,relative_humidity,END_BIN,2,146,146,0,0.0
jena,val,relative_humidity,END_BIN,3,146,146,0,0.0
jena,val,relative_humidity,END_BIN,4,146,146,0,0.0
jena,val,relative_humidity,END_BIN,6,146,146,0,0.0
jena,val,relative_humidity,END_BIN,8,146,146,0,0.0
jena,val,relative_humidity,END_BIN,12,146,146,0,0.0
jena,val,relative_humidity,INTERVAL_MEAN,2,146,146,0,0.0
jena,val,relative_humidity,INTERVAL_MEAN,3,146,146,0,0.0
jena,val,relative_humidity,INTERVAL_MEAN,4,146,146,0,0.0
jena,val,relative_humidity,INTERVAL_MEAN,6,146,146,0,0.0
jena,val,relative_humidity,INTERVAL_MEAN,8,146,146,0,0.0
jena,val,relative_humidity,INTERVAL_MEAN,12,146,146,0,0.0
jena,test,temperature,END_BIN,2,292,292,0,0.0
jena,test,temperature,END_BIN,3,292,292,0,0.0
jena,test,temperature,END_BIN,4,292,292,0,0.0
jena,test,temperature,END_BIN,6,292,292,0,0.0
jena,test,temperature,END_BIN,8,292,292,0,0.0
jena,test,temperature,END_BIN,12,292,292,0,0.0
jena,test,temperature,INTERVAL_MEAN,2,292,292,0,0.0
jena,test,temperature,INTERVAL_MEAN,3,292,292,0,0.0
jena,test,temperature,INTERVAL_MEAN,4,292,292,0,0.0
jena,test,temperature,INTERVAL_MEAN,6,292,292,0,0.0
jena,test,temperature,INTERVAL_MEAN,8,292,292,0,0.0
jena,test,temperature,INTERVAL_MEAN,12,292,292,0,0.0
jena,test,pressure,END_BIN,2,292,292,0,0.0
jena,test,pressure,END_BIN,3,292,292,0,0.0
jena,test,pressure,END_BIN,4,292,292,0,0.0
jena,test,pressure,END_BIN,6,292,292,0,0.0
jena,test,pressure,END_BIN,8,292,292,0,0.0
jena,test,pressure,END_BIN,12,292,292,0,0.0
jena,test,pressure,INTERVAL_MEAN,2,292,292,0,0.0
jena,test,pressure,INTERVAL_MEAN,3,292,292,0,0.0
jena,test,pressure,INTERVAL_MEAN,4,292,292,0,0.0
jena,test,pressure,INTERVAL_MEAN,6,292,292,0,0.0
jena,test,pressure,INTERVAL_MEAN,8,292,292,0,0.0
jena,test,pressure,INTERVAL_MEAN,12,292,292,0,0.0
jena,test,relative_humidity,END_BIN,2,292,292,0,0.0
jena,test,relative_humidity,END_BIN,3,292,292,0,0.0
jena,test,relative_humidity,END_BIN,4,292,292,0,0.0
jena,test,relative_humidity,END_BIN,6,292,292,0,0.0
jena,test,relative_humidity,END_BIN,8,292,292,0,0.0
jena,test,relative_humidity,END_BIN,12,292,292,0,0.0
jena,test,relative_humidity,INTERVAL_MEAN,2,292,292,0,0.0
jena,test,relative_humidity,INTERVAL_MEAN,3,292,292,0,0.0
jena,test,relative_humidity,INTERVAL_MEAN,4,292,292,0,0.0
jena,test,relative_humidity,INTERVAL_MEAN,6,292,292,0,0.0
jena,test,relative_humidity,INTERVAL_MEAN,8,292,292,0,0.0
jena,test,relative_humidity,INTERVAL_MEAN,12,292,292,0,0.0
uci,train,global_active_power,END_BIN,2,73325,64255,9070,0.12369587453119668
uci,train,global_active_power,END_BIN,3,73325,64255,9070,0.12369587453119668
uci,train,global_active_power,END_BIN,4,73325,64255,9070,0.12369587453119668
uci,train,global_active_power,END_BIN,6,73325,64255,9070,0.12369587453119668
uci,train,global_active_power,END_BIN,8,73325,64255,9070,0.12369587453119668
uci,train,global_active_power,END_BIN,12,73325,64255,9070,0.12369587453119668
uci,train,global_active_power,INTERVAL_MEAN,2,73325,64255,9070,0.12369587453119668
uci,train,global_active_power,INTERVAL_MEAN,3,73325,64255,9070,0.12369587453119668
uci,train,global_active_power,INTERVAL_MEAN,4,73325,64255,9070,0.12369587453119668
uci,train,global_active_power,INTERVAL_MEAN,6,73325,64255,9070,0.12369587453119668
uci,train,global_active_power,INTERVAL_MEAN,8,73325,64255,9070,0.12369587453119668
uci,train,global_active_power,INTERVAL_MEAN,12,73325,64255,9070,0.12369587453119668
uci,train,global_reactive_power,END_BIN,2,73325,64255,9070,0.12369587453119668
uci,train,global_reactive_power,END_BIN,3,73325,64255,9070,0.12369587453119668
uci,train,global_reactive_power,END_BIN,4,73325,64255,9070,0.12369587453119668
uci,train,global_reactive_power,END_BIN,6,73325,64255,9070,0.12369587453119668
uci,train,global_reactive_power,END_BIN,8,73325,64255,9070,0.12369587453119668
uci,train,global_reactive_power,END_BIN,12,73325,64255,9070,0.12369587453119668
uci,train,global_reactive_power,INTERVAL_MEAN,2,73325,64255,9070,0.12369587453119668
uci,train,global_reactive_power,INTERVAL_MEAN,3,73325,64255,9070,0.12369587453119668
uci,train,global_reactive_power,INTERVAL_MEAN,4,73325,64255,9070,0.12369587453119668
uci,train,global_reactive_power,INTERVAL_MEAN,6,73325,64255,9070,0.12369587453119668
